HANDLE	BLOCKNAME	TYPE	AREA	MEDIUM
'219D8	Tag_manual1	MKV-06	P03	M03
'219CF	Tag_manual1	MKV-07	P03	M03
'219C8	Tag_manual1	MKV-02	P03	M03
'219C1	Tag_manual1	PI-02	P03	M03
'214BC	tag automat	P-02	P03	M03
'213AE	Tag_manual1	MBV-06	P04	M01
'2139C	Tag_manual1	PI-05	P04	M01
'21396	Tag_manual1	PI-06	P04	M01
'21391	Tag_manual1	PI-07	P04	M01
'2138A	Tag_manual1	PI-08	P04	M01
'21318	Tag_manual1	MBV-01	P04	M01
'21312	Tag_manual1	MBV-03	P04	M01
'2130A	Tag_manual1	MBV-07	P04	M01
'21303	Tag_manual1	FLT-03	P04	M01
'211E9	Tag_manual1	MBV-13	P04	M01
'211E1	Tag_manual1	MBV-15	P04	M01
'211DA	Tag_manual1	MBV-14	P04	M01
'2111F	Tag_manual1	PI-10	P04	M01
'21119	Tag_manual1	PI-09	P04	M01
'21025	Tag_manual1	MBV-08	P03	M09
'20FD6	tag automat	LLT-01	P04	M02
'20FD1	tag automat	HLT-01	P04	M02
'1E0C0	Tag_manual1	MBV-02	P04	M09
'1DFF6	Tag_manual1	SB-01	P03	M09
'1DFEC	Tag_manual1	SB-02	P03	M09
'1DC66	Tag_manual1	MBV-06	P03	M09
'1DC5F	Tag_manual1	MBV-04	P03	M09
'1DA01	Tag_manual1	T-01	P03	M09
'1D9FC	Tag_manual1	T-02	P03	M09
'1D9F6	tag automat	LLT-01	P03	M09
'1D9F0	tag automat	LLT-02	P03	M09
'1D9B4	Tag_manual1	MBV-02	P03	M09
'1D825	Tag_manual1	MBV-05	P05	M09
'1D757	tag automat	CIT-01	P04	M03
'1D751	tag automat	P-01	P04	M10
'1D74B	tag automat	P-02	P04	M10
'1D6D1	tag automat	FC-01	P04	M09
'1D6A6	tag automat	CCT-01	P06	M09
'1D6A1	tag automat	ABV-01	P06	M09
'1D636	tag automat	CCT-03	P06	M09
'1D631	tag automat	ABV-03	P06	M09
'1D62A	tag automat	HLT-02	P06	M03
'1D60B	tag automat	LLT-02	P06	M03
'1D5FE	tag automat	MLT-03	P06	M09
'1D496	Tag_manual1	MBV-02	P04	M01
'1D48F	Tag_manual1	MBV-04	P04	M01
'1D487	Tag_manual1	MBV-08	P04	M01
'1D43D	Tag_manual1	FLT-02	P04	M01
'1CFCA	Tag_manual1	MBV-09	P04	M09
'1CFC1	tag automat	CIT-02	P04	M09
'1BBFB	Tag_manual1	PI-02	P04	M09
'1BBF5	Tag_manual1	PI-03	P04	M09
'1BBEF	Tag_manual1	PI-01	P03	M09
'1BBE9	Tag_manual1	PI-02	P03	M09
'1B969	Tag_manual1	MBV-08	P04	M09
'1AD20	tag automat	FIT-01	P03	M03
'1ACF6	Tag_manual1	FLT-01	P03	M05
'1ACEA	Tag_manual1	SV-01	P03	M05
'1ACC6	Tag_manual1	K-01	P04	M09
'1AC30	tag automat	FC-02	P04	M01
'1AC2A	tag automat	FC-02	P04	M09
'1AAA9	Tag_automatic	TIT-01	P03	M03
'1AAA3	Tag_manual1	MKV-01	P04	M03
'1AA9B	Tag_manual1	MTV-01	P04	M09
'1A816	Tag_automatic	MM-01	P04	M03
'1A7DD	tag automat	SUW-01	P04	M01
'1A7D7	tag automat	SUW-02	P04	M01
'1A60C	Tag_manual1	FI-01	P04	M01
